SCENARIO,,Condition,Turn,date,Time,やり直し,Amount,Quality,Usability,,,,Amount,Quality,Usability,,,,
2,Ollama,NoGuided,0,20260225,150734.json,,85,78,80,,,,,,,,,,
5,Ollama,NoGuided,2,20260225,161210.json,,85,78,80,,,,,,,,,,
2,Ollama,NoGuided,7,20260225,180854.json,,75,85,80,,,,,,,,,,
4,Ollama,NoGuided,9,20260225,191027.json,,85,75,80,,,,,,,,,,
1,Ollama,NoGuided,6,20260225,174053.json,,85,75,80,,,,,,,,,,
1,Ollama,NoGuided,4,20260225,164001.json,,85,75,80,,,,,,,,,,
1,Ollama,NoGuided,2,20260225,155244.json,,85,75,80,,,,,,,,,,
1,Ollama,NoGuided,1,20260225,152735.json,,75,70,72,,,,,,,,,,
1,Ollama,NoGuided,0,20260225,150048.json,,85,75,80,,,,,,,,,,
1,Ollama,NoGuided,5,20260225,171512.json,,85,75,80,,,,,,,,,,
3,Ollama,NoGuided,0,20260225,151406.json,,85,78,80,,,,,,,,,,
2,Ollama,NoGuided,2,20260225,155906.json,,85,75,80,,,,,,,,,,
1,Ollama,NoGuided,3,20260225,161646.json,,85,75,80,,,,,,,,,,
3,Ollama,NoGuided,2,20260225,160300.json,,75,70,72,,,,,,,,,,
1,Ollama,NoGuided,7,20260225,180432.json,,75,70,70,,,,,,,,,,
5,Ollama,NoGuided,8,20260225,184921.json,,75,70,70,,,,,,,,,,
2,Ollama,NoGuided,9,20260225,185925.json,,75,70,70,,,,,,,,,,
1,Ollama,NoGuided,8,20260225,183036.json,,85,75,80,,,,,,,,,,
5,Ollama,NoGuided,1,20260225,154905.json,,85,78,80,,,,,,,,,,
2,Ollama,NoGuided,6,20260225,174635.json,,75,70,72,,,,,,,,,,
4,Ollama,NoGuided,2,20260225,160651.json,,75,70,72,,,,,,,,,,
4,Ollama,NoGuided,0,20260225,151730.json,,85,75,80,,,,,,,,,,
4,Ollama,NoGuided,4,20260225,170331.json,,75,85,80,,,,,,,,,,
2,Ollama,NoGuided,5,20260225,172129.json,,75,70,72,,,,,,,,,,
3,Ollama,NoGuided,8,20260225,183949.json,,85,75,80,,,,,,,,,,
3,Ollama,NoGuided,5,20260225,172642.json,,65,78,70,,,,,,,,,,
2,Ollama,NoGuided,3,20260225,162208.json,,75,70,70,,,,,,,,,,
4,Ollama,NoGuided,7,20260225,181921.json,,85,75,80,,,,,,,,,,
5,Ollama,NoGuided,6,20260225,175859.json,,85,75,80,,,,,,,,,,
3,Ollama,NoGuided,7,20260225,181401.json,,75,70,70,,,,,,,,,,
5,Ollama,NoGuided,5,20260225,173505.json,,75,70,72,,,,,,,,,,
3,Ollama,NoGuided,9,20260225,190329.json,,75,70,72,,,,,,,,,,
5,Ollama,NoGuided,9,20260225,191444.json,,85,78,80,,,,,,,,,,
3,Ollama,NoGuided,4,20260225,165936.json,,85,75,80,,,,,,,,,,
2,Ollama,NoGuided,1,20260225,153435.json,,85,80,82,,,,,,,,,,
4,Ollama,NoGuided,8,20260225,184441.json,,85,75,80,,,,,,,,,,
5,Ollama,NoGuided,0,20260225,152131.json,,85,88,85,,,,,,,,,,
2,Ollama,NoGuided,4,20260225,165414.json,,75,70,72,,,,,,,,,,
4,Ollama,NoGuided,5,20260225,173155.json,,85,75,80,,,,,,,,,,
4,Ollama,NoGuided,3,20260225,163108.json,,75,70,70,,,,,,,,,,
5,Ollama,NoGuided,4,20260225,170841.json,,85,75,80,,,,,,,,,,
1,Ollama,NoGuided,9,20260225,185516.json,,75,70,72,,,,,,,,,,
