SCENARIO,Platform,Condition,turn,date,time,amount,quality,usefulness
2,Ollama,AIReN,4,20260226,141922.json,75,60,65
2,Ollama,NoGuided,5,20260225,172129.json,62,54,56
2,Ollama,AIReN,8,20260226,190121.json,85,60,65
3,Ollama,NoGuided,8,20260225,183949.json,65,45,60
3,Ollama,NoGuided,5,20260225,172642.json,55,35,45
1,Ollama,AIReN,1,20260226,103956.json,80,60,65
5,Ollama,Guided,4,20260225,170614.json,65,45,40
1,Ollama,Guided,5,20260225,171220.json,65,40,45
5,Ollama,AIReN,0,20260226,102148.json,80,60,58
5,Ollama,Guided,6,20260225,175708.json,65,45,40
2,Ollama,Guided,8,20260225,183235.json,78,46,43
1,Ollama,AIReN,4,20260226,140555.json,78,60,65
2,Ollama,AIReN,0,20260226,094754.json,72,60,62
2,Ollama,NoGuided,3,20260225,162208.json,55,45,40
5,Ollama,Guided,3,20260225,163357.json,70,55,60
4,Ollama,NoGuided,7,20260225,181921.json,60,45,45
2,Ollama,AIReN,7,20260226,173850.json,65,45,45
1,Ollama,AIReN,3,20260226,125137.json,80,60,65
4,Ollama,Guided,6,20260225,175301.json,75,45,50
5,Ollama,AIReN,2,20260226,123645.json,70,50,55
2,Ollama,Guided,2,20260225,155529.json,70,60,45
1,Ollama,Guided,2,20260225,155051.json,75,60,55
5,Ollama,NoGuided,6,20260225,175859.json,65,40,45
3,Ollama,NoGuided,7,20260225,181401.json,65,55,52
3,Ollama,AIReN,3,20260226,132325.json,70,45,55
4,Ollama,AIReN,0,20260226,101015.json,80,55,55
5,Ollama,Guided,5,20260225,173338.json,65,40,45
5,Ollama,NoGuided,5,20260225,173505.json,55,35,30
2,Ollama,AIReN,6,20260226,163545.json,64,42,48
3,Ollama,NoGuided,9,20260225,190329.json,60,55,50
4,Ollama,AIReN,8,20260226,192927.json,70,45,55
5,Ollama,NoGuided,9,20260225,191444.json,62,45,55
3,Ollama,NoGuided,4,20260225,165936.json,70,55,45
2,Ollama,NoGuided,1,20260225,153435.json,70,55,60
1,Ollama,Guided,8,20260225,182819.json,75,40,60
1,Ollama,Guided,4,20260225,163742.json,70,40,45
3,Ollama,Guided,8,20260225,183743.json,80,60,58
4,Ollama,NoGuided,8,20260225,184441.json,65,45,55
1,Ollama,Guided,3,20260225,161510.json,78,58,60
3,Ollama,Guided,3,20260225,162417.json,75,55,50
2,Ollama,Guided,4,20260225,165201.json,82,70,75
4,Ollama,AIReN,7,20260226,181209.json,75,60,65
1,Ollama,Guided,9,20260225,185133.json,55,35,40
5,Ollama,NoGuided,0,20260225,152131.json,65,55,50
3,Ollama,Guided,0,20260225,151154.json,70,45,45
2,Ollama,NoGuided,4,20260225,165414.json,45,35,40
4,Ollama,NoGuided,5,20260225,173155.json,65,45,45
4,Ollama,NoGuided,3,20260225,163108.json,65,35,40
5,Ollama,NoGuided,4,20260225,170841.json,65,45,40
4,Ollama,Guided,4,20260225,170123.json,65,40,55
4,Ollama,Guided,2,20260225,160521.json,55,40,35
1,Ollama,Guided,7,20260225,180229.json,80,60,60
4,Ollama,AIReN,2,20260226,122100.json,85,60,65
4,Ollama,AIReN,3,20260226,133644.json,80,60,65
1,Ollama,NoGuided,9,20260225,185516.json,70,40,45
